Age Group 1,Answer Code,Brand Disposition,Gender,Header,Npd Product Code,NPD Product Code2,Project Code,Project Name,Respondent Number,Response - NET,Response Code,Response Value,Sample Type,SEC Group 1,Submission ID,Variable Name,Weights Random,Weights Random with Booster
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,1,,2,Preferrer,Random,D,396980089,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,5,,3,Acceptor,Random,D,396980169,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,21,,3,Acceptor,Random,D,397317397,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,29,,2,Preferrer,Random,D,397362394,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,34,,3,Acceptor,Random,D,397317452,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have heard of it but I don’t know much about it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,38,,4,Available,Random,D,397362593,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,39,,3,Acceptor,Random,D,397332544,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,40,,3,Acceptor,Random,D,397317466,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,41,,3,Acceptor,Random,D,397332557,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,43,,3,Acceptor,Random,D,397317474,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,46,,3,Acceptor,Random,D,397317493,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,48,,3,Acceptor,Random,D,397317519,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,49,,2,Preferrer,Random,D,397332590,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,50,,3,Acceptor,Random,D,397317534,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,I have never tried this brand and am not interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,78,,5,Rejector,Random,D,397351151,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,"Not a brand I generally prefer, but I may eat it sometimes",Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,91,,3,Acceptor,Random,D,397378994,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,"Not a brand I generally prefer, but I may eat it sometimes",Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,92,,3,Acceptor,Random,D,397379014,Brand Love,0.38501167,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,101,,2,Preferrer,Random,D,397331761,Brand Love,1.53959005,1.554080309
13-16 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,104,,3,Acceptor,Random,D,397334860,Brand Love,1.53959005,1.554080309
